Classifier,cv_k_folds,Random_State,Accuracy,Precision,Recall,F1 Score,Specificity,Balanced Accuracy,dataset,hardness_metric,seed,weighting_strategy
RandomForestClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,static
GaussianNB,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,static
SVC,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,static
KNeighborsClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,static
LogisticRegression,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,self_paced
RandomForestClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,self_paced
GaussianNB,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,self_paced
SVC,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,self_paced
KNeighborsClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,116740,self_paced
LogisticRegression,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,26226,curriculum
RandomForestClassifier,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,26226,curriculum
GaussianNB,3,26226,0.9767441860465116,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9285714285714286,NewThyroid2,feature_DS,26226,curriculum
SVC,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,26226,curriculum
KNeighborsClassifier,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,26226,curriculum
LogisticRegression,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,26226,static
RandomForestClassifier,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,26226,static
GaussianNB,3,26226,0.9767441860465116,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9285714285714286,NewThyroid2,feature_DS,26226,static
SVC,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,26226,static
KNeighborsClassifier,3,26226,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DS,26226,static
