dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_ks_statistic,std_ks_statistic
Pima,feature_F2,670488,self_paced,0.5186918581556135,0.4004631742650912,0.0964019553599452
Pima,feature_F2,116740,curriculum,0.4763330521181951,0.546440826952009,0.08646822188628497
Pima,feature_F2,116740,static,0.5006419887364856,0.5368291157428537,0.08565478535955331
Pima,feature_F2,116740,self_paced,0.5036074747878385,0.43237148604560743,0.0770383262963884
Pima,feature_F2,26226,curriculum,0.45823656975053095,0.5971972885710906,0.05701820539877202
Pima,feature_F2,26226,static,0.47657831857137944,0.6096353770475176,0.05726292702754427
Hypothyroid,feature_kDN,26226,static,0.4662780686215359,0.8657391082345485,0.13853677273758988
Pima,feature_F2,26226,self_paced,0.5212446124695647,0.3933837077607046,0.0892088297231414
Pima,feature_F3,670488,curriculum,0.4551709774025126,0.5482428115015975,0.07417964535543434
Pima,feature_F3,670488,static,0.4978815746386167,0.5652281217776426,0.07145374812441424
Pima,feature_F3,670488,self_paced,0.4767309484329511,0.43618844769004517,0.10012617408113986
Pima,feature_F3,116740,curriculum,0.4684016797854504,0.5424683469411904,0.08767947352426662
Pima,feature_F3,116740,static,0.47530560033009733,0.5326504048548776,0.08612521231074248
Pima,feature_F3,116740,self_paced,0.49657878850045784,0.4262082255692479,0.0849203426391492
Pima,feature_F3,26226,curriculum,0.48196069031209043,0.5316124888009871,0.05505904188544134
Pima,feature_F3,26226,static,0.49350385934400964,0.55571783559004,0.07287508702968425
Pima,feature_F3,26226,self_paced,0.5213564074516305,0.4171408286424261,0.0563700342104123
Hypothyroid,feature_kDN,26226,self_paced,0.5221861739430533,0.6787946832576981,0.15941252500704653
Pima,feature_F4,670488,curriculum,0.5311996385083869,0.4238585459032744,0.1032367558929682
Pima,feature_F4,670488,static,0.5445400525980105,0.40736683739878626,0.09953791616174515
Pima,feature_F4,670488,self_paced,0.47673683751194124,0.43534662001115676,0.10138942526628959
Pima,feature_F4,116740,curriculum,0.5275279620908425,0.42485589194854373,0.09482026399159596
Pima,feature_F4,116740,static,0.5153584659884349,0.4386801223861927,0.08475439998148467
Pima,feature_F4,116740,self_paced,0.5028963941219929,0.41912875906486124,0.09628268481547628
Pima,feature_F4,26226,curriculum,0.5346766081915624,0.42913602785807264,0.06723530868772887
HeartCleveland,,670488,static,0.479299681509862,0.49961930141810224,0.11196730301317813
Pima,feature_F4,26226,static,0.5180056311563253,0.45377216559325184,0.077999882350162
HeartCleveland,,116740,static,0.45855781114094013,0.5168300498080646,0.1046460074631024
HeartCleveland,,26226,static,0.4862598238360924,0.5039814726690144,0.13923576811679453
Pima,feature_F4,26226,self_paced,0.4880279607628239,0.421674527105837,0.07945481084590426
HeartCleveland,relative_entropy,670488,curriculum,0.45901061559622097,0.5743789854382791,0.10943454184904111
Thoracic,,670488,static,0.519978743922556,0.636589297227595,0.19144917622958774
HeartCleveland,relative_entropy,670488,static,0.43062646864269877,0.6180165603883124,0.10414877785826004
HeartCleveland,relative_entropy,670488,self_paced,0.47998913562489764,0.5219694806636845,0.156346632648143
Hypothyroid,feature_DS,670488,curriculum,0.5883944034487835,0.7160985637559527,0.17267771874948712
Thoracic,,116740,static,0.5207880685060629,0.6241715022566087,0.18783935631411816
HeartCleveland,relative_entropy,116740,curriculum,0.4281677563202857,0.6125757431553568,0.10185846797162501
HeartCleveland,relative_entropy,116740,static,0.4425531544477197,0.6131785159100283,0.10964467061996752
Thoracic,,26226,static,0.5188676666569012,0.6680657640232109,0.17981858833614847
HeartCleveland,relative_entropy,116740,self_paced,0.4604476628205459,0.5038228482598903,0.1353886791181283
HeartCleveland,relative_entropy,26226,curriculum,0.42969072517536716,0.6035658767171093,0.10067313789710776
Thoracic,relative_entropy,670488,curriculum,0.47820180072173013,0.7301869761444231,0.21462468235493903
HeartCleveland,relative_entropy,26226,static,0.4172233969907617,0.5910821357190443,0.11210003602671918
HeartCleveland,relative_entropy,26226,self_paced,0.47198522020661365,0.5003331112591606,0.14917817354806082
Thoracic,relative_entropy,670488,static,0.4840449393627175,0.7335170857511283,0.20627969886113498
HeartCleveland,pca_contribution,670488,curriculum,0.4681663985596136,0.5636401129405793,0.12843619757406644
Thoracic,relative_entropy,670488,self_paced,0.5280265512767648,0.6428175370728562,0.17153043602691603
HeartCleveland,pca_contribution,670488,static,0.4922527001227158,0.5443196599092668,0.13139137488494232
HeartCleveland,pca_contribution,670488,self_paced,0.49087466733182605,0.49605025221281057,0.15580892416966105
Thoracic,relative_entropy,116740,curriculum,0.44308114693999445,0.7578175370728563,0.1793943954816241
HeartCleveland,pca_contribution,116740,curriculum,0.44632647528982217,0.5602931379080613,0.12437742650485359
HeartCleveland,pca_contribution,116740,static,0.463325201124908,0.5496018527330986,0.12977605704410172
Thoracic,relative_entropy,116740,static,0.4678361378964211,0.7564023210831722,0.19750325039785935
HeartCleveland,pca_contribution,116740,self_paced,0.45619837809780467,0.576742489134228,0.09534383326168656
HeartCleveland,pca_contribution,26226,curriculum,0.463043881056131,0.5128803020208749,0.14363877836177566
Thoracic,relative_entropy,116740,self_paced,0.5195664212178075,0.6488684719535783,0.18305742776921335
HeartCleveland,pca_contribution,26226,static,0.46784335049902354,0.5341042479616763,0.12491724992498639
HeartCleveland,pca_contribution,26226,self_paced,0.4430107582965645,0.5340725230798514,0.13134131056985202
Thoracic,relative_entropy,26226,curriculum,0.49444115743701056,0.6919277885235331,0.20483583610993328
HeartCleveland,feature_kDN,670488,curriculum,0.48296733620392546,0.54249547920434,0.12240146432245573
Hypothyroid,feature_DS,670488,static,0.5450571725807222,0.7603632483876127,0.19702182903882035
HeartCleveland,feature_kDN,670488,static,0.47801512516621714,0.5411471717267854,0.1248615066734155
Thoracic,relative_entropy,26226,static,0.4772875012349618,0.7419245647969054,0.20530836240468656
HeartCleveland,feature_kDN,670488,self_paced,0.47452486270571503,0.571761682687732,0.10968558572937799
Thoracic,relative_entropy,26226,self_paced,0.49880959003397174,0.7024081237911025,0.16993172341624857
HeartCleveland,feature_kDN,116740,curriculum,0.4551218662510855,0.544636908727515,0.12965661995945763
HeartCleveland,feature_kDN,116740,static,0.47065794083770945,0.5551537070524412,0.12042186791242719
Thoracic,pca_contribution,670488,curriculum,0.4974866327275427,0.7331431334622823,0.17742280194204083
HeartCleveland,feature_kDN,116740,self_paced,0.4579325037003995,0.5541226483931349,0.1309471475680993
HeartCleveland,feature_kDN,26226,curriculum,0.46500483637173,0.5476349100599599,0.12080534658499281
Thoracic,pca_contribution,670488,static,0.4736824701367966,0.7183397807865893,0.18206725369837837
HeartCleveland,feature_kDN,26226,static,0.49081174945923667,0.5385774562989752,0.12552914473835985
HeartCleveland,feature_kDN,26226,self_paced,0.4521042668046927,0.5349925446527711,0.13289028624287758
Thoracic,pca_contribution,670488,self_paced,0.4728757680516451,0.7184397163120567,0.20402523446299958
HeartCleveland,feature_DS,670488,curriculum,0.49339504416366,0.531518670092954,0.12425072546295088
Thoracic,pca_contribution,116740,curriculum,0.5409620974465544,0.7039813023855577,0.1981907777746441
HeartCleveland,feature_DS,670488,static,0.49713944380551334,0.5021731544049998,0.15553856075794925
HeartCleveland,feature_DS,670488,self_paced,0.4709198462298225,0.5055994416420799,0.12623107628565453
Thoracic,pca_contribution,116740,static,0.47649132395255855,0.7284880722114765,0.18711917582233925
HeartCleveland,feature_DS,116740,curriculum,0.4662225048316207,0.5152755305986485,0.14444434154852595
HeartCleveland,feature_DS,116740,static,0.4382833288887369,0.5499032391104344,0.12327371931862689
Thoracic,pca_contribution,116740,self_paced,0.46649623591288664,0.722321083172147,0.20790258547199625
HeartCleveland,feature_DS,116740,self_paced,0.4697102708790516,0.5547254211478062,0.12694041507619397
Thoracic,pca_contribution,26226,curriculum,0.5126346360164634,0.7419890393294649,0.17723068604136819
HeartCleveland,feature_DS,26226,curriculum,0.4670290910536958,0.5199232257859839,0.13391386124211083
HeartCleveland,feature_DS,26226,static,0.48094966652398535,0.49387709780781064,0.16074660849377514
Hypothyroid,feature_DS,670488,self_paced,0.605538992165889,0.7076869661884923,0.1585649801751293
Thoracic,pca_contribution,26226,static,0.5161665142952668,0.7306511927788525,0.18792157969132947
HeartCleveland,feature_DS,26226,self_paced,0.4617085986076262,0.5498873766695219,0.12848663696769502
HeartCleveland,feature_DCP,670488,curriculum,0.4975971672243584,0.5541067859522223,0.1075803045239513
Thoracic,pca_contribution,26226,self_paced,0.47113619668058826,0.7394229529335913,0.2050588134595063
HeartCleveland,feature_DCP,670488,static,0.49334844526894883,0.559579328067003,0.10542407476682232
HeartCleveland,feature_DCP,670488,self_paced,0.4272813215003405,0.5252688683734653,0.09157162237168345
Thoracic,feature_kDN,670488,curriculum,0.4872124247131113,0.7080689877498387,0.17188206841474718
HeartCleveland,feature_DCP,116740,curriculum,0.48433542129103535,0.5676691729323309,0.09588194742659416
HeartCleveland,feature_DCP,116740,static,0.4777647160637727,0.5630214777449954,0.10861679439214396
Thoracic,feature_kDN,670488,static,0.4780795995863335,0.6916021921341071,0.17529393194195958
HeartCleveland,feature_DCP,116740,self_paced,0.49692905191676756,0.5313917705656548,0.1307919075472851
Thoracic,feature_kDN,670488,self_paced,0.5091469279375084,0.7299129593810446,0.20084022873431576
HeartCleveland,feature_DCP,26226,curriculum,0.46844213221472747,0.5486976936010913,0.12236583951433443
HeartCleveland,feature_DCP,26226,static,0.48605735635080755,0.5510929221788649,0.11873585361188306
Thoracic,feature_kDN,116740,curriculum,0.5132849789466487,0.7085525467440361,0.1638151182405637
HeartCleveland,feature_DCP,26226,self_paced,0.4694346109905511,0.532454554106786,0.12417973947133588
HeartCleveland,feature_TD_P,670488,curriculum,0.5005272851896673,0.5380064084261286,0.11807831074469997
Thoracic,feature_kDN,116740,static,0.49386311888301265,0.7316698903932947,0.1786038163793159
HeartCleveland,feature_TD_P,670488,static,0.47431548807483015,0.5206846229497795,0.15501303590872098
HeartCleveland,feature_TD_P,670488,self_paced,0.4520695474799261,0.5654484312045938,0.11362124696875446
Thoracic,feature_kDN,116740,self_paced,0.4860138889038613,0.7008478401031595,0.22123212686206703
HeartCleveland,feature_TD_P,116740,curriculum,0.4686883779032162,0.5535516005202881,0.12808547797427403
Thoracic,feature_kDN,26226,curriculum,0.4756906851458661,0.7231366860090265,0.18739944042287188
HeartCleveland,feature_TD_P,116740,static,0.47948736043503737,0.5511246470606898,0.11629874794345205
HeartCleveland,feature_TD_P,116740,self_paced,0.454497717074022,0.5294248278925161,0.1249782462550377
Hypothyroid,feature_DS,116740,curriculum,0.5138999276011986,0.7745540326720639,0.17349263604212486
Thoracic,feature_kDN,26226,static,0.4984371422366331,0.7493874919406833,0.17837692191740412
HeartCleveland,feature_TD_P,26226,curriculum,0.5014482445661491,0.5065194632149995,0.14998501487853022
HeartCleveland,feature_TD_P,26226,static,0.5298716496417174,0.4677992449478126,0.13810097686419637
Thoracic,feature_kDN,26226,self_paced,0.49900727050903004,0.7190070921985817,0.18786823231139643
HeartCleveland,feature_TD_P,26226,self_paced,0.4534279345314506,0.5269978744329177,0.13632533978412018
HeartCleveland,feature_TD_U,670488,curriculum,0.4287345414321007,0.5567082262618571,0.10240453763226999
Thoracic,feature_DS,670488,curriculum,0.4850926754684927,0.6744616376531269,0.18768700537338118
HeartCleveland,feature_TD_U,670488,static,0.47663020747813106,0.5623869801084991,0.12457141559803529
HeartCleveland,feature_TD_U,670488,self_paced,0.4604685577152207,0.5189238920085023,0.09071973341355204
Thoracic,feature_DS,670488,static,0.4924982777704459,0.6721212121212122,0.2003928990076318
HeartCleveland,feature_TD_U,116740,curriculum,0.4762836712508209,0.5358967037847784,0.1286657330227533
HeartCleveland,feature_TD_U,116740,static,0.4742222152157855,0.5396878271628438,0.11374680314049798
Thoracic,feature_DS,670488,self_paced,0.48220636983836807,0.7055577047066408,0.1929592590021383
HeartCleveland,feature_TD_U,116740,self_paced,0.48696261670332114,0.5326131785159102,0.13471557176538845
Thoracic,feature_DS,116740,curriculum,0.4918340680573145,0.6864023210831721,0.18555437554616064
HeartCleveland,feature_TD_U,26226,curriculum,0.4642316896292837,0.5250309317597791,0.12963902490875365
HeartCleveland,feature_TD_U,26226,static,0.4849411868074669,0.5388947051172234,0.13687135902468742
Thoracic,feature_DS,116740,static,0.5010667744016418,0.6726079948420375,0.19297451429000306
HeartCleveland,feature_TD_U,26226,self_paced,0.47780895773158166,0.5062339392785762,0.1390234926969116
HeartCleveland,feature_CL,670488,curriculum,0.5101001185953093,0.5111830208432474,0.14863806961894616
Thoracic,feature_DS,116740,self_paced,0.5140067347372183,0.705696324951644,0.21103270256694742
HeartCleveland,feature_CL,670488,static,0.4875526356081489,0.5179880079946702,0.13792516791232698
HeartCleveland,feature_CL,670488,self_paced,0.48568275221628726,0.544795533136639,0.10132456560495519
Thoracic,feature_DS,26226,curriculum,0.507304092923897,0.6765119277885236,0.1744200661175004
Hypothyroid,feature_DS,116740,static,0.5008395919443263,0.7670543651603161,0.18004878164224541
HeartCleveland,feature_CL,116740,curriculum,0.4823688333560756,0.5384664192125884,0.12023012822823094
HeartCleveland,feature_CL,116740,static,0.5064486522998441,0.5367850004758733,0.11464743306946244
Thoracic,feature_DS,26226,static,0.5522984822314523,0.6797775628626692,0.17178492040705204
HeartCleveland,feature_CL,116740,self_paced,0.45947794387760593,0.5628628533358714,0.13551617022920445
Thoracic,feature_DS,26226,self_paced,0.4913415683169066,0.7052192134107028,0.19392842041930952
HeartCleveland,feature_CL,26226,curriculum,0.49640840080701726,0.5230639890866405,0.14419701547802727
HeartCleveland,feature_CL,26226,static,0.4818742192810576,0.5334538878842676,0.1336742869583296
Thoracic,feature_DCP,670488,curriculum,0.5100022523345545,0.6847582205029012,0.17295483104288192
HeartCleveland,feature_CL,26226,self_paced,0.47872359839878786,0.5250785190825165,0.10422675327952609
HeartCleveland,feature_CLD,670488,curriculum,0.515047347656119,0.5027759271596713,0.13954229931952394
Thoracic,feature_DCP,670488,static,0.47544975360886915,0.7158607350096712,0.18292416153407062
HeartCleveland,feature_CLD,670488,static,0.49083209574303677,0.5202246121633197,0.13877185696087507
HeartCleveland,feature_CLD,670488,self_paced,0.4570230492681472,0.576742489134228,0.11238289972816798
Thoracic,feature_DCP,670488,self_paced,0.5128193214809235,0.6606640876853642,0.19591510277975865
HeartCleveland,feature_CLD,116740,curriculum,0.5131510368557587,0.5178452460264585,0.09546237294153545
HeartCleveland,feature_CLD,116740,static,0.5017337706960634,0.5262682021509468,0.09520957476912288
Thoracic,feature_DCP,116740,curriculum,0.47811116943500687,0.6927498388136685,0.1813589809272476
HeartCleveland,feature_CLD,116740,self_paced,0.46972636704060955,0.5595634656260905,0.13062906452049014
Thoracic,feature_DCP,116740,static,0.5031164162311015,0.735370728562218,0.17125615896251428
HeartCleveland,feature_CLD,26226,curriculum,0.5245674447098247,0.4935281241077377,0.15135357694711296
HeartCleveland,feature_CLD,26226,static,0.5035384667091463,0.5066463627422987,0.13287942419919363
Thoracic,feature_DCP,116740,self_paced,0.494096086998659,0.6687943262411349,0.19788585356563212
HeartCleveland,feature_CLD,26226,self_paced,0.45764249875997337,0.548840455569303,0.1265270182130541
HeartCleveland,feature_MV,670488,curriculum,0.4897560724638687,0.5331049141841947,0.09788087511596365
Thoracic,feature_DCP,26226,curriculum,0.5187479684030352,0.7073855577047067,0.16546103649713206
Hypothyroid,feature_DS,116740,self_paced,0.5223183252247315,0.6909555529419312,0.15809034491658525
HeartCleveland,feature_MV,670488,static,0.4631653838699028,0.5473493861235367,0.12076190343134753
HeartCleveland,feature_MV,670488,self_paced,0.48721253198245823,0.48830938104755567,0.11805200250493976
Thoracic,feature_DCP,26226,static,0.47224177197427913,0.7531979368149581,0.1768123449658019
HeartCleveland,feature_MV,116740,curriculum,0.4733962100306224,0.550506011865106,0.13871909182833464
HeartCleveland,feature_MV,116740,static,0.47012419342145545,0.5646711715998858,0.11542689640281452
Thoracic,feature_DCP,26226,self_paced,0.5472563744940219,0.6803965183752417,0.19464092389906468
HeartCleveland,feature_MV,116740,self_paced,0.474054471313471,0.5358967037847784,0.11700638344092965
HeartCleveland,feature_MV,26226,curriculum,0.4725292548292209,0.5294089654516037,0.13055226863527278
HeartCleveland,feature_MV,26226,static,0.47423769148044587,0.5090257288791599,0.12061372836044909
HeartCleveland,feature_MV,26226,self_paced,0.48063488385089315,0.4974620094540148,0.1539667291158368
HeartCleveland,feature_CB,670488,curriculum,0.4918877553177899,0.5271723612829542,0.12343739764436865
HeartCleveland,feature_CB,670488,static,0.49545148991815435,0.5319628184385014,0.13018609378407148
HeartCleveland,feature_CB,670488,self_paced,0.488401078383857,0.4649915929063165,0.11863221245732204
HeartCleveland,feature_CB,116740,curriculum,0.48739973405149206,0.5352780685891946,0.13405221929963784
HeartCleveland,feature_CB,116740,static,0.44952031176509055,0.5422099552679167,0.1292263089682114
HeartCleveland,feature_CB,116740,self_paced,0.49073476770132324,0.529266203483392,0.13804774934313313
HeartCleveland,feature_CB,26226,curriculum,0.4970634905891305,0.5142603343802544,0.13544502391409596
HeartCleveland,feature_CB,26226,static,0.47007273708752084,0.5420513308587926,0.12501848537681212
Hypothyroid,feature_DS,26226,curriculum,0.4991805659618905,0.7648617931702228,0.19221277513590132
HeartCleveland,feature_CB,26226,self_paced,0.4791036054066966,0.5261254401827353,0.1485476524688203
HeartCleveland,feature_N1,670488,curriculum,0.5105452686632921,0.5119761428888678,0.0939875632748964
HeartCleveland,feature_N1,670488,static,0.5023025265504547,0.5378477840170045,0.10857936280027632
HeartCleveland,feature_N1,670488,self_paced,0.47288480906394426,0.5101360997430284,0.1450029409497783
HeartCleveland,feature_N1,116740,curriculum,0.49008902005088717,0.5194790774404364,0.10207909632609467
HeartCleveland,feature_N1,116740,static,0.49494374845022576,0.5245709209733193,0.13805429261342114
HeartCleveland,feature_N1,116740,self_paced,0.48164640404802583,0.5021097046413503,0.13177969839723194
HeartCleveland,feature_N1,26226,curriculum,0.47215381967247033,0.5476349100599599,0.11360614180054385
HeartCleveland,feature_N1,26226,static,0.4973268912769537,0.5099616128929919,0.15304583535529034
HeartCleveland,feature_N1,26226,self_paced,0.4768742745440417,0.5352780685891946,0.1256882814712997
HeartCleveland,feature_N2,670488,curriculum,0.4784891594098424,0.5309158973382825,0.1290077681720825
HeartCleveland,feature_N2,670488,static,0.444769258854475,0.5524570920973318,0.1142992282652399
HeartCleveland,feature_N2,670488,self_paced,0.4684825113219688,0.5378953713397419,0.11112185011029066
HeartCleveland,feature_N2,116740,curriculum,0.44761567487129766,0.5835474762856508,0.10604847891972312
HeartCleveland,feature_N2,116740,static,0.47118021530031384,0.5551854319342661,0.12751865085740327
HeartCleveland,feature_N2,116740,self_paced,0.49955567935581524,0.5432727388090479,0.12267177118447496
Hypothyroid,feature_DS,26226,static,0.5132860701807511,0.7321447479595705,0.19386242929132122
HeartCleveland,feature_N2,26226,curriculum,0.4510017043700625,0.5313600456838298,0.1294678939655743
HeartCleveland,feature_N2,26226,static,0.4952439172004584,0.5170997113035755,0.12449883395125397
HeartCleveland,feature_N2,26226,self_paced,0.48064462739432984,0.51844801878113,0.13091199736305675
HeartCleveland,feature_LSC,670488,curriculum,0.479538260009109,0.5181149075219695,0.13857648176551424
HeartCleveland,feature_LSC,670488,static,0.4973431742406439,0.5179880079946703,0.12974551356622824
HeartCleveland,feature_LSC,670488,self_paced,0.4419025488662994,0.5716189207195203,0.10618536426300473
HeartCleveland,feature_LSC,116740,curriculum,0.4837029699689272,0.5320579930839756,0.11996530726907338
HeartCleveland,feature_LSC,116740,static,0.47106263998956166,0.5197963262586848,0.14122696743636196
HeartCleveland,feature_LSC,116740,self_paced,0.48449649471886247,0.5360394657529902,0.1256962568405171
HeartCleveland,feature_LSC,26226,curriculum,0.4825128458690361,0.4824244154690524,0.1602759939327836
HeartCleveland,feature_LSC,26226,static,0.49412448729904535,0.5048697693601091,0.14334329926797154
HeartCleveland,feature_LSC,26226,self_paced,0.43910314680307105,0.5388629802353987,0.12834698134269631
HeartCleveland,feature_LSR,670488,curriculum,0.4810387000848768,0.5264109641191587,0.1316679066414403
HeartCleveland,feature_LSR,670488,static,0.4788047851064104,0.5247295453824434,0.13156085108517962
HeartCleveland,feature_LSR,670488,self_paced,0.46290476745547093,0.5098505758066051,0.09730863733584579
HeartCleveland,feature_LSR,116740,curriculum,0.4812639492910508,0.5378795088988294,0.142759039798792
Hypothyroid,feature_DS,26226,self_paced,0.5580781354725293,0.672899061210602,0.16189901834230597
HeartCleveland,feature_LSR,116740,static,0.4575147635251765,0.5520446686336093,0.1243810193223502
HeartCleveland,feature_LSR,116740,self_paced,0.4584329002296192,0.5382284825989023,0.0968065327257258
HeartCleveland,feature_LSR,26226,curriculum,0.43460873847801945,0.5397195520446687,0.1156629944947334
HeartCleveland,feature_LSR,26226,static,0.46125324189417327,0.488325243488468,0.15451861632378824
HeartCleveland,feature_LSR,26226,self_paced,0.44480596569556474,0.549617715174011,0.12580022265156507
HeartCleveland,feature_Harmfulness,670488,curriculum,0.494206640329632,0.5504901494241934,0.11066604218943536
HeartCleveland,feature_Harmfulness,670488,static,0.4847330438532165,0.5432727388090479,0.10876685577003674
HeartCleveland,feature_Harmfulness,670488,self_paced,0.4642774696336825,0.5226357031820057,0.1306886011930743
HeartCleveland,feature_Harmfulness,116740,curriculum,0.48597893495454786,0.5398147266901431,0.10479501750207633
HeartCleveland,feature_Harmfulness,116740,static,0.49723525509665184,0.5402588750356905,0.10296499541467884
HeartCleveland,feature_Harmfulness,116740,self_paced,0.47407225329434244,0.5394023032264206,0.08926483871539262
HeartCleveland,feature_Harmfulness,26226,curriculum,0.4948475832589409,0.5440024110910187,0.11753334546861845
HeartCleveland,feature_Harmfulness,26226,static,0.48253415766083,0.5267123504964942,0.10503099494542771
HeartCleveland,feature_Harmfulness,26226,self_paced,0.483978452070546,0.49888962913613144,0.14170089289578935
HeartCleveland,feature_F1,670488,curriculum,0.4667233185085412,0.5445258716411281,0.12269969120767284
HeartCleveland,feature_F1,670488,static,0.48267274512040026,0.5086450302972622,0.1443782188305467
Hypothyroid,feature_DCP,670488,curriculum,0.46401421421215344,0.8607428589987811,0.1392756162827046
HeartCleveland,feature_F1,670488,self_paced,0.4798673828175368,0.46467434408806835,0.16883510877007749
HeartCleveland,feature_F1,116740,curriculum,0.483644501943157,0.5034104247961676,0.12928430796207463
HeartCleveland,feature_F1,116740,static,0.4821210407247,0.5343897718980997,0.1343037800744829
HeartCleveland,feature_F1,116740,self_paced,0.4890466459093004,0.5051711557374449,0.1273351246959014
HeartCleveland,feature_F1,26226,curriculum,0.48154661211577204,0.5038228482598902,0.12715011662283374
HeartCleveland,feature_F1,26226,static,0.500399458440869,0.4776339583135053,0.137441493019714
HeartCleveland,feature_F1,26226,self_paced,0.5107932588574737,0.4735255861171917,0.1677461638933796
HeartCleveland,feature_F2,670488,curriculum,0.5025651413389154,0.4866755496335776,0.1362639117926323
HeartCleveland,feature_F2,670488,static,0.4600180536653233,0.5272040861647791,0.12382741172179704
HeartCleveland,feature_F2,670488,self_paced,0.4822184485732717,0.5071539608514958,0.13218801222083695
HeartCleveland,feature_F2,116740,curriculum,0.4526131753530309,0.5138003235937946,0.13340624488397773
HeartCleveland,feature_F2,116740,static,0.48418818246005824,0.5080422575425907,0.1397504198673714
HeartCleveland,feature_F2,116740,self_paced,0.4778450678315508,0.5497446147013103,0.1311327843027932
HeartCleveland,feature_F2,26226,curriculum,0.5043586249167302,0.4667999111703309,0.13392600902217697
HeartCleveland,feature_F2,26226,static,0.4836451889159404,0.47504838044478276,0.16600267457596063
Hypothyroid,feature_DCP,670488,static,0.46506184224486696,0.8293635794487151,0.16082804948647136
HeartCleveland,feature_F2,26226,self_paced,0.46830960181529974,0.5258081913644872,0.13184438364654655
HeartCleveland,feature_F3,670488,curriculum,0.4550491901195135,0.6159068557469624,0.10818645680092855
HeartCleveland,feature_F3,670488,static,0.45364095832962703,0.6107674248913424,0.11390433462059403
HeartCleveland,feature_F3,670488,self_paced,0.49327891433331905,0.493385362139526,0.1513724470177989
HeartCleveland,feature_F3,116740,curriculum,0.4438991868233684,0.5805018876304685,0.10927841738226096
HeartCleveland,feature_F3,116740,static,0.426044714369445,0.6140985374829478,0.10671715983221698
HeartCleveland,feature_F3,116740,self_paced,0.4928387587138502,0.4991751530725548,0.15070349472771777
HeartCleveland,feature_F3,26226,curriculum,0.4537084419499346,0.6006789124710511,0.12345643092564275
HeartCleveland,feature_F3,26226,static,0.454470566995877,0.5911931728054313,0.11913253683509865
HeartCleveland,feature_F3,26226,self_paced,0.4868000137757399,0.4949240189080295,0.1528615663246358
HeartCleveland,feature_F4,670488,curriculum,0.4677352198281784,0.5259826782145237,0.10758190547291165
HeartCleveland,feature_F4,670488,static,0.4611300411128585,0.512880302020875,0.10122841216926794
HeartCleveland,feature_F4,670488,self_paced,0.4782772925390465,0.5440341359728434,0.13053110485934113
HeartCleveland,feature_F4,116740,curriculum,0.47589348768804357,0.5538212620157991,0.14311201440705282
HeartCleveland,feature_F4,116740,static,0.4883430290680038,0.5308048602518955,0.146976824632833
HeartCleveland,feature_F4,116740,self_paced,0.47853227253513486,0.5517115573744489,0.12829218308473314
Hypothyroid,feature_DCP,670488,self_paced,0.6164740099919968,0.6923136465849156,0.16502612965133442
HeartCleveland,feature_F4,26226,curriculum,0.49504687486405224,0.5240633228641224,0.13342993497986586
HeartCleveland,feature_F4,26226,static,0.487718125712761,0.5071539608514958,0.14917728634754693
HeartCleveland,feature_F4,26226,self_paced,0.47126493284009385,0.5279496208876622,0.12345060283001341
Hepatitis,,670488,static,0.48593979729049314,0.6407930107526882,0.12495718706126677
Hepatitis,,116740,static,0.507036421763132,0.6451164874551971,0.11029560574462804
Hepatitis,,26226,static,0.48994654781379765,0.6386872759856631,0.1380331536855997
Hepatitis,relative_entropy,670488,curriculum,0.47307485958537593,0.6334453405017921,0.14351696816465137
Hepatitis,relative_entropy,670488,static,0.4858192307348101,0.6241039426523298,0.13834694532910782
Hepatitis,relative_entropy,670488,self_paced,0.5044398912661522,0.6446684587813619,0.12567407150210272
Hepatitis,relative_entropy,116740,curriculum,0.48991726698032667,0.6249327956989248,0.1534975447724564
Hepatitis,relative_entropy,116740,static,0.48641220972294763,0.6091173835125447,0.17200114735542563
Hepatitis,relative_entropy,116740,self_paced,0.4995472888195931,0.6492607526881721,0.11486368929609539
Hepatitis,relative_entropy,26226,curriculum,0.45709872232650967,0.6375,0.14851139566731716
Hepatitis,relative_entropy,26226,static,0.48335914665080326,0.6427867383512545,0.1547839603835937
Hepatitis,relative_entropy,26226,self_paced,0.5066090625554235,0.6341173835125448,0.11901401469201683
Hepatitis,pca_contribution,670488,curriculum,0.4815938989958304,0.6471774193548387,0.1268510333995307
Hepatitis,pca_contribution,670488,static,0.45766507634499975,0.6847670250896057,0.12994572556694317
Hepatitis,pca_contribution,670488,self_paced,0.4957390121340361,0.6397401433691757,0.1277109565913331
Hypothyroid,feature_DCP,116740,curriculum,0.4731306906524226,0.8452930558853496,0.144237528913223
Hepatitis,pca_contribution,116740,curriculum,0.4821058532537291,0.6703181003584229,0.1298162811841845
Hepatitis,pca_contribution,116740,static,0.5059216249829849,0.659386200716846,0.12926344493184772
Hepatitis,pca_contribution,116740,self_paced,0.45736313496731973,0.6570340501792116,0.129896138334258
Hepatitis,pca_contribution,26226,curriculum,0.4804828194903169,0.6514560931899643,0.12962077951382076
Hepatitis,pca_contribution,26226,static,0.47556492991511345,0.6704301075268818,0.1115140039106185
Hepatitis,pca_contribution,26226,self_paced,0.5118453929652045,0.6697132616487455,0.13153503826075527
Hepatitis,feature_kDN,670488,curriculum,0.4838298177284645,0.6573924731182796,0.11850397381890146
