dataset,hardness_metric,seed,weighting_strategy,overall_similarity,mean_ks_statistic,std_ks_statistic,mean_ks_pvalue
NewThyroid2,feature_TD_P,670488,self_paced,0.7771317829457365,0.2228682170542636,0.23296832450932645,0.27397091177152105
BCWDD,feature_DS,116740,static,0.7889593691068061,0.21104063089319391,0.1741356101344699,0.16293576375322275
NewThyroid2,feature_TD_P,116740,curriculum,0.7987556099551205,0.20124439004487962,0.1559150865510351,0.26044780371593995
BCWDD,feature_DS,116740,self_paced,0.8097605577461569,0.19023944225384312,0.13721791978748726,0.16131006813676238
NewThyroid2,feature_TD_P,116740,static,0.7968176254589964,0.20318237454100363,0.16176170187270605,0.26029247955517837
Hypothyroid,relative_entropy,670488,curriculum,0.7104361832655887,0.28956381673441145,0.32071869299039824,0.1578947368421122
NewThyroid2,feature_TD_P,116740,self_paced,0.7760097919216647,0.22399020807833536,0.21210209766129964,0.2180453291295551
BCWDD,feature_DS,26226,curriculum,0.7526715812332133,0.24732841876678666,0.18285432333709295,0.15197776870199
NewThyroid2,feature_TD_P,26226,curriculum,0.8268053855569155,0.17319461444308445,0.16096046506518563,0.3216486331660853
BCWDD,feature_DS,26226,static,0.7150122864163666,0.2849877135836334,0.20357665941771302,0.12234617654439955
NewThyroid2,feature_TD_P,26226,static,0.857405140758874,0.1425948592411261,0.12196151237697901,0.23723474481552204
NewThyroid2,feature_TD_P,26226,self_paced,0.8547531619747041,0.14524683802529578,0.09681243294662821,0.23559476439205598
BCWDD,feature_DS,26226,self_paced,0.8057031830390308,0.1942968169609692,0.13488235533747478,0.11825723386804012
NewThyroid2,feature_TD_U,670488,curriculum,0.7816197470420236,0.21838025295797633,0.19728108304725386,0.23234970170069466
BCWDD,feature_DCP,670488,curriculum,0.7440425167152409,0.25595748328475915,0.15508581726834683,0.14075731610377062
NewThyroid2,feature_TD_U,670488,static,0.8040595675234599,0.19594043247654017,0.1862916737924036,0.2633168918488654
NewThyroid2,feature_TD_U,670488,self_paced,0.7753977968176254,0.22460220318237453,0.22872702394738587,0.2751306915812471
BCWDD,feature_DCP,670488,static,0.7723298474198526,0.2276701525801474,0.14951297667743615,0.15102657371405726
NewThyroid2,feature_TD_U,116740,curriculum,0.7464300285597715,0.2535699714402284,0.18860468298030234,0.22174421389598722
BCWDD,feature_DCP,670488,self_paced,0.7425567175267157,0.2574432824732842,0.18870848997857595,0.13325545162098393
NewThyroid2,feature_TD_U,116740,static,0.8130354957160343,0.18696450428396572,0.17810307645483386,0.25599652534263684
NewThyroid2,feature_TD_U,116740,self_paced,0.7595879232966137,0.2404120767033864,0.21130858579822878,0.18549351561571845
BCWDD,feature_DCP,116740,curriculum,0.7404423109891994,0.2595576890108006,0.17216010904870102,0.15608533460346372
NewThyroid2,feature_TD_U,26226,curriculum,0.8377192982456141,0.162280701754386,0.15447654348292814,0.3096958772804863
BCWDD,feature_DCP,116740,static,0.7617578147322703,0.23824218526772958,0.1488092494887081,0.1762131964651379
NewThyroid2,feature_TD_U,26226,static,0.8209914320685435,0.17900856793145659,0.17329208093779996,0.3161440328546251
NewThyroid2,feature_TD_U,26226,self_paced,0.8584251325989393,0.1415748674010608,0.10412183418286722,0.24513251474338804
