dataset,hardness_metric,seed,weighting_strategy,bottleneck_H0_mean,bottleneck_H0_std,bottleneck_H1_mean,bottleneck_H1_std,wasserstein_H0_mean,wasserstein_H0_std,wasserstein_H1_mean,wasserstein_H1_std
BCWDD,,670488,static,0.8716210524241129,0.2192426328476762,0.4026566743850708,0.0668853711235914,33.35802088391063,2.3625202916366783,7.3585909268724,1.338777930246074
BCWDD,,116740,static,1.1708828210830688,0.3640897161452556,0.6762359539667765,0.29266681438833375,39.126536022590386,8.748383961283224,6.63908909186631,1.4632409704208684
NewThyroid2,,670488,static,1.3172252178192139,0.27533199774143163,0.19066470861434937,0.05575353708415106,10.448077364230999,0.7753811452355073,0.5822132006060848,0.026045553904366588
NewThyroid2,,116740,static,1.1763569116592407,0.2305628174922994,0.15878236293792725,0.03549009096338641,12.29010289081235,1.6324860466678197,0.3967208531387587,0.14988030442029274
BCWDD,,26226,static,1.0522819360097249,0.07456460584769413,0.4307795763015747,0.013017786627416582,39.15595627380463,3.2995838020616692,6.811360630787533,1.2898920391355964
NewThyroid2,,26226,static,1.1975573301315308,0.0,0.14949768781661987,0.07512858435283727,11.219909090275303,2.056881887748435,0.5392120389881122,0.35314116152225933
BCWDD,relative_entropy,670488,curriculum,1.1236204306284587,0.2458015921495402,0.44048599402109784,0.051990649200337885,56.5240377031162,7.5468785060155295,9.218511539401426,1.334904073204852
NewThyroid2,relative_entropy,670488,curriculum,1.1725211143493652,0.0514712885518237,0.1722773313522339,0.07234946596213979,10.813963185118405,1.2958168258425729,0.4940301160125484,0.13681402888756614
NewThyroid2,relative_entropy,670488,static,1.2642892201741536,0.2117489272708185,0.20394599437713623,0.04913295268150156,11.573715261866331,0.8543842910755841,0.5883988793155486,0.03397273196381985
BCWDD,relative_entropy,670488,static,1.2786269982655842,0.0894541831661539,0.3954954147338867,0.027044640719171096,62.047034200436116,6.3225442745030636,7.335103082770014,0.28160582288950947
NewThyroid2,relative_entropy,670488,self_paced,1.1908492247263591,0.17713455623241198,0.19608132044474283,0.052345491307956106,10.911710171513024,1.1811912692665063,0.538245776826914,0.06241061149162877
NewThyroid2,relative_entropy,116740,curriculum,1.2993112802505493,0.21909547060972243,0.12736656268437704,0.07301562748332724,10.691666857167656,1.2839162311991728,0.2620894100411283,0.18475301114088802
BCWDD,relative_entropy,670488,self_paced,1.2721319993336995,0.26357023301935617,0.47156739234924316,0.05452932774211311,48.37774213695226,9.253657788970136,8.087209567555313,1.8257453230245357
NewThyroid2,relative_entropy,116740,static,1.1014996965726216,0.2852275485880814,0.11599864562352498,0.05513967709982816,11.160510990096801,1.2580435035586142,0.33474974271753305,0.19525624326248286
BCWDD,relative_entropy,116740,curriculum,1.181781570116679,0.20478487527755335,0.6336525877316793,0.3206666505986814,55.72062938062928,8.831334869341923,8.127904511757398,2.526530027349039
NewThyroid2,relative_entropy,116740,self_paced,1.145660440127055,0.25505451667768725,0.1336870789527893,0.03549009096338641,11.186808261625423,1.2481249488099515,0.2815242262906259,0.132618317567487
NewThyroid2,relative_entropy,26226,curriculum,1.2377911408742268,0.056899200818273196,0.09150107701619466,0.06470103204402379,10.741341852280355,2.523962356439578,0.44543474875204564,0.3281966975426517
BCWDD,relative_entropy,116740,static,1.1792606910069783,0.08414993686487847,0.4864414930343628,0.036872096370628875,49.894447885622874,3.546474390936494,7.805561274423991,0.9738289502955921
NewThyroid2,relative_entropy,26226,static,1.26787265141805,0.09944088100601728,0.12385326623916626,0.03854274622851107,10.367528520255709,0.7489648251145237,0.4190789879718621,0.1644229503355006
BCWDD,relative_entropy,116740,self_paced,1.4213045040766399,0.19157427147562223,0.7160489956537882,0.2612155251049203,55.69231303054608,7.275446549907264,7.719038711792954,1.4891190849160227
NewThyroid2,relative_entropy,26226,self_paced,1.3081064621607463,0.08641701922135293,0.11760050058364868,0.0941747161054827,10.095141582146832,2.2788366399226465,0.4767862448529135,0.38657939150304815
Hypothyroid,,670488,static,1.8019609451293945,0.0,0.3328387339909871,0.0638764977150586,39.81487485630558,3.0576882308010944,4.414901561600631,0.5109592616580015
