dataset,seed,model,hardness_metric,strategy,v_dist,v_comp,v_hard,v_topo,MFI
BCWDD,670488,CTGAN,,,0.7225490196078431,0.7300410310694154,0.2462902642055736,0.8090700420934525,0.4968936743612639
BCWDD,670488,TVAE,,static,0.4742114236999147,0.7465430223874914,0.3492580528411146,0.9344488687129052,0.541885476763337
BCWDD,670488,HardTVAE_kDN_curriculum,kDN,curriculum,0.5012872975277066,0.774188323553224,0.2667993726625648,0.9503650930869406,0.4946270294336885
BCWDD,670488,HardTVAE_kDN_static,kDN,static,0.506999147485081,0.7485494658020376,0.3307998552298226,0.9099035930587348,0.5383362411183367
BCWDD,670488,HardTVAE_kDN_self_paced,kDN,self_paced,0.4888832054560953,0.7462423030107227,0.3511280009651345,0.8090700420934525,0.5355127382733602
BCWDD,670488,HardTVAE_DS_curriculum,DS,curriculum,0.4899658994032395,0.7439789691326759,0.3427433948606586,0.8848935953149715,0.5381554654274591
BCWDD,670488,HardTVAE_DS_static,DS,static,0.5416965046888321,0.7410891702028978,0.3218120400530824,0.8090700420934525,0.5305878376566237
BCWDD,670488,HardTVAE_DS_self_paced,DS,self_paced,0.4721653878942882,0.7614377122082342,0.3063095668958861,0.8680657883673852,0.509692791557664
BCWDD,670488,HardTVAE_DCP_curriculum,DCP,curriculum,0.5438704177323104,0.7523842718193272,0.3166847629388346,0.894298736388199,0.5373678772417303
BCWDD,670488,HardTVAE_DCP_static,DCP,static,0.5151321398124468,0.7473420844363322,0.3096272167933406,0.8839089197771838,0.5235359974256322
BCWDD,670488,HardTVAE_DCP_self_paced,DCP,self_paced,0.5185166240409207,0.7407437614567123,0.3359271323440704,0.8650170113869152,0.5397050439219996
BCWDD,670488,HardTVAE_TD_U_curriculum,TD_U,curriculum,0.4807331628303494,0.7604875787607542,0.3296537579925201,0.858339945259214,0.526757481660999
BCWDD,670488,HardTVAE_TD_U_static,TD_U,static,0.511619778346121,0.753654876246808,0.3020267824828085,0.8090700420934525,0.5109603957781939
BCWDD,670488,HardTVAE_TD_U_self_paced,TD_U,self_paced,0.4906820119352088,0.7529991307473839,0.3121606948968512,0.8564128966760868,0.5169867730244703
BCWDD,670488,HardTVAE_CL_curriculum,CL,curriculum,0.5160272804774083,0.7515695213935352,0.2964169381107491,0.8471184257018995,0.5113435292372497
BCWDD,670488,HardTVAE_CL_static,CL,static,0.4923699914748507,0.7470692823105037,0.3454578356858487,0.8594396087394821,0.5385163678650219
