model,hardness_metric,strategy,Dataset,metric,baseline,gain_index,gain_std,n_seeds,win_rate
HardTVAE_CB_self_paced,CB,self_paced,BCWDD,Specificity,TVAE,0.0190685045948204,0.019743207425811145,10,0.6
HardTVAE_CB_self_paced,CB,self_paced,HeartCleveland,F1 Score,TVAE,0.003394659258400523,0.038280432518762016,10,0.4
HardTVAE_CB_self_paced,CB,self_paced,HeartCleveland,Precision,TVAE,0.0022751821372364645,0.04304953239112802,10,0.4
HardTVAE_CB_self_paced,CB,self_paced,HeartCleveland,Recall,TVAE,0.003225806451612878,0.03861996773347947,10,0.4
HardTVAE_CB_self_paced,CB,self_paced,HeartCleveland,Specificity,TVAE,0.006438059094605597,0.042449142325359866,10,0.4
HardTVAE_CB_self_paced,CB,self_paced,Hepatitis,F1 Score,TVAE,0.009520768716171024,0.11849702794940283,6,0.5
HardTVAE_CB_self_paced,CB,self_paced,Hepatitis,Precision,TVAE,0.04517609126984131,0.19101651191613128,6,0.5
HardTVAE_CB_self_paced,CB,self_paced,Hepatitis,Recall,TVAE,-0.010416666666666666,0.07306532465312576,6,0.3333333333333333
HardTVAE_CB_self_paced,CB,self_paced,Hepatitis,Specificity,TVAE,0.04033119658119657,0.3126986821836,6,0.5
HardTVAE_CB_self_paced,CB,self_paced,Hypothyroid,F1 Score,TVAE,0.01804746798752086,0.04757586342625101,5,0.4
HardTVAE_CB_self_paced,CB,self_paced,Hypothyroid,Precision,TVAE,0.025056957435242277,0.06260266983150727,5,0.4
HardTVAE_CB_self_paced,CB,self_paced,Hypothyroid,Recall,TVAE,0.010582010582010647,0.031246062992110406,5,0.4
HardTVAE_CB_self_paced,CB,self_paced,Hypothyroid,Specificity,TVAE,0.1652899388301028,0.38812022238947635,5,0.2
HardTVAE_CB_self_paced,CB,self_paced,ILPD,F1 Score,TVAE,0.05738293382404132,0.0619710080645473,5,0.6
HardTVAE_CB_self_paced,CB,self_paced,ILPD,Precision,TVAE,0.0848399025516325,0.10157395320727611,5,0.6
HardTVAE_CB_self_paced,CB,self_paced,ILPD,Recall,TVAE,0.02372881355932206,0.03303998082986093,5,0.4
HardTVAE_CB_self_paced,CB,self_paced,ILPD,Specificity,TVAE,0.10064093433983763,0.13158102494592883,5,0.6
HardTVAE_CB_self_paced,CB,self_paced,NewThyroid1,F1 Score,TVAE,0.044011544011544015,0.0984128042045362,5,0.2
HardTVAE_CB_self_paced,CB,self_paced,NewThyroid1,Precision,TVAE,0.058842975206611546,0.13157689256031815,5,0.2
HardTVAE_CB_self_paced,CB,self_paced,NewThyroid1,Recall,TVAE,0.02727272727272727,0.06098367211363062,5,0.2
HardTVAE_CB_self_paced,CB,self_paced,NewThyroid1,Specificity,TVAE,0.16161616161616163,0.36138472363632973,5,0.2
HardTVAE_CB_self_paced,CB,self_paced,NewThyroid2,F1 Score,TVAE,0.0,0.0,5,0.0
HardTVAE_CB_self_paced,CB,self_paced,NewThyroid2,Precision,TVAE,0.0,0.0,5,0.0
HardTVAE_CB_self_paced,CB,self_paced,NewThyroid2,Recall,TVAE,0.0,0.0,5,0.0
HardTVAE_CB_self_paced,CB,self_paced,NewThyroid2,Specificity,TVAE,0.0,0.0,5,0.0
HardTVAE_CB_self_paced,CB,self_paced,Pima,F1 Score,TVAE,0.028031864157741837,0.10261309416073902,5,0.6
